feature_name,feature_label_ko,adjustment_direction,adjustment_unit,unit_step_value,unit_step_basis,unit_cost_basis,unit_cost_krw,unit_cost_unit,step_representative_cost_krw,representative_cost_basis,actual_cost_formula,package_type,required_extra_input,note_for_presentation
Albedo,Albedo,increase,+0.02,0.02,평균 Albedo 상승량,"쿨루프 25,000원/㎡",25000,KRW/m2,1111111111,"1km² 표준 분석면적 기준, 평균 Albedo 0.02 상승","1km² 기준: (1,000,000㎡ × Δ평균Albedo / 처리표면Albedo상승폭) × 25,000원",surface,"처리표면Albedo상승폭, 대상면적",현실 최소단위(+0.01)는 가능하지만 너무 촘촘해 +0.02로 묶음 설정
녹지율,녹지율,increase,+500㎡ / 동 면적,500,녹지 추가 면적(m2),"녹화 123,000원/㎡",123000,KRW/m2,61500000,녹지 500㎡ 추가 기준,"500㎡ × 123,000원",green,동 면적,비율값 대신 실제 사업면적 기준이 적절해 500㎡ 단위로 설정
그늘막 개수,그늘막 개수,increase,+1개,1,스마트그늘막 설치 개수,"스마트그늘막 8,500,000원/개",8500000,KRW/ea,8500000,스마트그늘막 1개소 기준,"1개소 × 8,500,000원",facility,없음,설치 단위가 명확해 1개를 그대로 사용
총_가로수_개수,총_가로수_개수,increase,+10주,10,가로수 식재 주수,"가로수 1,000,000원/주",1000000,KRW/tree,10000000,가로수 10주 식재 기준,"10주 × 1,000,000원",green,없음,"5주는 최소단위, 효과 가시성을 위해 10주로 설정"
누적_조성면적합계(m^2),누적_조성면적합계(m^2),increase,+500㎡,500,조성면적(m2),"조성면적 123,000원/㎡",123000,KRW/m2,61500000,조성면적 500㎡ 기준,"500㎡ × 123,000원",green,없음,100㎡는 너무 촘촘해 소규모 사업 1건 수준인 500㎡ 사용
차량밀도,차량밀도,decrease,-10%,-0.10,차량밀도 감축률,"승용차마일리지 30,000원/대",30000,KRW/car,21071793,"1km² 기준, 2024 median 차량밀도 7,023.93의 10% 감축","1km² 기준: median(차량밀도) × 감축률 × 30,000원",mobility,"차량밀도, 분석면적",절대값보다 감축률이 현실적이므로 -10% 단위 사용
인구밀도,인구밀도,increase_or_decrease,±10%,0.10,인구밀도 변화율,용적률·주택공급 연동 환산,,proxy,7212790716,"1ha 표준 사업지 기준, 인구밀도 10% 변화 -> 용적률 약 32.49%p 변화 환산","1ha 기준: median(인구밀도) × 변화율 × POP_TO_FAR_SLOPE × 10,000㎡ / 100 × 2,220,000원",urban_structure,"POP_TO_FAR_SLOPE, 대지면적, 주택공급 또는 용적률 연동 기준",직접 레버가 아니므로 장기 구조변화 시나리오로 ±10% 사용
용적률_행정동별,용적률_행정동별,decrease,-20%p,-20,용적률 변화량(%p),"기본형건축비 2,220,000원/㎡",2220000,KRW/m2_floor_area,4440000000,"1ha 표준 사업지 기준, 용적률 20%p 변화","1ha 기준: (10,000㎡ × Δ용적률%p / 100) × 2,220,000원",urban_structure,개발가능 대지면적,법·제도 단위는 %p이므로 -20%p를 분석 step으로 사용
에너지사용량_전기,에너지사용량_전기,decrease,-10%,-0.10,전기 사용량 절감률,"에코마일리지 30,000원/가구",30000,KRW/household,30000,"행정동-월 row 1개 기준, 전기 10% 절감 유도비용","row 1개 기준 정책비용 proxy = 30,000원; 참여가구 수 정보가 생기면 참여가구 수 × 30,000원",energy,참여 가구 수,"5%는 최소 절감 기준, 효과 비교를 위해 -10% 사용"
에너지사용량_가스,에너지사용량_가스,decrease,-10%,-0.10,가스 사용량 절감률,"에코마일리지 30,000원/가구",30000,KRW/household,30000,"행정동-월 row 1개 기준, 가스 10% 절감 유도비용","row 1개 기준 정책비용 proxy = 30,000원; 참여가구 수 정보가 생기면 참여가구 수 × 30,000원",energy,참여 가구 수,"5%는 최소 절감 기준, 효과 비교를 위해 -10% 사용"
